Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,pe_prevista_0_24h,pe_prevista_24_48h,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,119,1.26,17.52,0.97,18.72,0.0,0.0778,6.5249999999999995,0.0,2.840443682789025,1.350020182623133,0.0,1.0,48.638225268843904,1.350020182623133,1.8006071096140093,0.8273075706993895,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.58783152842053,4,0.0,0.0,0.0,0.0,0.0,0.9
,120,7.95,11.77,1.08,5.84,15.29,0.0802,0.0,0.0,1.2194043274523927,0.39155597641915396,9.2175,1.0,55.12238269019043,-8.825944023580846,0.26197363550781233,0.8020682922966849,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9
,121,7.75,17.12,2.22,20.25,0.0,0.0828,0.0,0.0,3.32899130842316,1.5848911181928598,0.0,1.0,46.684034766307356,1.5848911181928598,1.0625780079213198,0.9707500796828861,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.030179226825359,2,0.0,0.0,0.0,0.0,0.0,0.9
,122,5.0,15.04,3.27,19.76,0.2,0.0854,0.0,0.0,3.3925926387848455,1.7998156015661009,0.0,1.0,46.42962944486062,1.7998156015661009,1.7086642205563292,0.9411353256236685,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.2000593678433242,3,0.0,0.0,0.0,0.0,0.0,0.9
,123,3.26,15.78,2.41,26.13,0.0,0.0883,0.0,0.0,3.812678459038161,2.0101196383983178,0.0,1.0,44.74928616384736,2.0101196383983178,2.6566866029335374,0.912490837577165,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.506637132802231,4,0.0,0.0,0.0,0.0,0.0,0.9
,124,1.46,18.93,1.53,27.88,0.0,0.0913,0.0,0.0,4.01638865426382,1.9994506642444747,0.0,1.0,43.93444538294472,1.9994506642444747,3.634880070409301,0.8754498101370599,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.80628006456114,5,0.0,0.0,0.0,0.0,0.0,0.9
,125,4.67,24.89,1.37,28.26,0.0,0.0944,0.0,0.0,4.687392249766028,2.430049261944553,0.0,1.0,41.25043100093589,2.430049261944553,4.7916210004692035,0.8383340387167788,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,126,7.75,23.61,1.64,21.46,0.0,0.0978,0.0,0.0,4.007982572248986,1.9307294879205634,0.0,1.0,43.96806971100406,1.9307294879205634,0.9636532969905282,0.7934726134531687,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.2549741671483663,1,0.0,0.0,6.0,6.67,0.67,0.9
,127,9.09,21.8,1.74,21.87,0.0,0.1012,0.0,0.0,3.98249537085472,2.011894680146384,0.0,1.0,44.07001851658112,2.011894680146384,1.9358497367220122,0.9722950249180706,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.5627057092435157,2,0.0,0.0,0.0,0.0,0.0,0.9
,128,7.69,23.48,1.37,29.36,0.0,0.1049,0.0,0.0,4.833345348371662,2.59154499641393,0.0,1.0,40.66661860651335,2.59154499641393,3.1395302657166653,0.9350414070303993,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.24720995691257,3,0.0,0.0,0.0,0.0,0.0,0.9
